Unnamed: 0,Year,State,Never smoked,Smokers
639,2008,Florida,0.564,0.436
640,2005,Louisiana,0.565,0.435
641,2001,District of Columbia,0.5589999999999999,0.441
642,1997,Idaho,0.5579999999999999,0.442
643,2010,Pennsylvania,0.5539999999999999,0.446
644,2004,West Virginia,0.48,0.52
645,2000,Oregon,0.509,0.491
646,2005,New Jersey,0.565,0.435
647,2006,Arizona,0.569,0.431
648,2002,California,0.596,0.404
649,1998,Oregon,0.516,0.484
650,2004,Kansas,0.585,0.415
651,2004,New Jersey,0.568,0.4320000000000001
652,2004,New York,0.5589999999999999,0.441
653,1996,Nevada,0.45,0.55
654,2000,Minnesota,0.5710000000000001,0.429
655,1999,Minnesota,0.605,0.395
656,2004,Nevada,0.523,0.477
657,2000,Alabama,0.508,0.4920000000000001
658,1997,Ohio,0.522,0.478
659,1995,Arkansas,0.515,0.485
660,2003,North Dakota,0.539,0.461
661,1999,Oklahoma,0.561,0.439
662,2002,Delaware,0.49,0.51
663,2010,New Mexico,0.569,0.431
664,2009,North Dakota,0.574,0.426
665,2005,Wisconsin,0.532,0.468
666,2009,Alabama,0.546,0.454
667,2000,South Dakota,0.535,0.465
668,2004,Maine,0.478,0.522
669,1997,South Carolina,0.5660000000000001,0.434
670,2002,Utah,0.701,0.29900000000000004
671,2002,Oregon,0.494,0.506
672,2001,Mississippi,0.536,0.464
673,2003,North Carolina,0.52,0.48
674,2009,Indiana,0.532,0.468
675,1999,West Virginia,0.49,0.51
676,2000,Idaho,0.531,0.469
677,1996,Wisconsin,0.4920000000000001,0.508
678,1996,Texas,0.5589999999999999,0.441
679,2004,Oregon,0.5529999999999999,0.447
680,2002,Iowa,0.534,0.466
681,2004,Mississippi,0.562,0.438
682,1999,Oregon,0.505,0.495
683,2006,Maryland,0.597,0.403
684,1998,Maine,0.464,0.536
685,1996,Colorado,0.531,0.469
686,1995,Wyoming,0.512,0.488
687,2001,Michigan,0.487,0.513
688,1997,Montana,0.529,0.471
689,1996,Idaho,0.56,0.44
690,1999,North Carolina,0.516,0.484
691,1998,Colorado,0.529,0.471
692,2010,Rhode Island,0.5589999999999999,0.441
693,2008,Virginia,0.595,0.405
694,1998,Tennessee,0.524,0.476
695,2009,Wyoming,0.54,0.46
696,1997,Iowa,0.529,0.471
697,1995,Hawaii,0.609,0.391
698,2006,New Mexico,0.551,0.449
699,2008,Nevada,0.527,0.473
700,1995,Idaho,0.562,0.438
701,2007,Arizona,0.562,0.438
702,2010,Alaska,0.536,0.464
703,2010,Missouri,0.528,0.472
704,1996,Massachusetts,0.462,0.5379999999999999
705,1995,Vermont,0.465,0.535
706,2007,District of Columbia,0.604,0.396
707,1995,New Jersey,0.557,0.443
708,2004,North Dakota,0.565,0.435
